,title,start,end,characters,instruments
1,Torn Apart,0:00,1:26,NA,strings
2,Torn Apart,0:00,1:26,NA,NA
3,Torn Apart,1:26,2:00,snoke,strings
4,Torn Apart,1:26,2:00,NA,timpani
5,Torn Apart,1:26,2:00,NA,brass
6,Torn Apart,2:00,2:26,NA,strings
7,Torn Apart,2:26,2:47,NA,strings
8,Torn Apart,2:26,2:47,NA,brass
9,Torn Apart,2:47,3:52,kylo ren,brass
10,Torn Apart,2:47,3:52,NA,strings
11,Torn Apart,2:47,3:07,NA,brass
12,Torn Apart,3:14,3:26,force,brass
13,Torn Apart,3:26,3:52,NA,brass
14,Torn Apart,3:46,4:19,kylo ren,brass
15,Torn Apart,3:52,3:59,rey,strings
16,Torn Apart,3:52,3:59,rey,brass
17,Torn Apart,3:59,4:19,NA,strings
18,Torn Apart,3:59,4:19,NA,brass
